Model,ElementLabel,X_centroid_mm,Y_centroid_mm,SENER
M18_PWR_n3_L16_nuVar_v1,310,17.4375,3.149999976158142,0.00037971604615449905
M18_PWR_n3_L16_nuVar_v1,311,17.4375,2.850000023841858,0.00037971604615449905
M18_PWR_n3_L16_nuVar_v1,270,17.8125,3.149999976158142,0.00032139249378815293
M18_PWR_n3_L16_nuVar_v1,271,17.8125,2.850000023841858,0.00032139249378815293
M18_PWR_n3_L16_nuVar_v1,330,18.5,3.149999976158142,0.00030684893135912716
M18_PWR_n3_L16_nuVar_v1,331,18.5,2.850000023841858,0.00030684893135912716
M18_PWR_n3_L16_nuVar_v1,350,19.5,3.149999976158142,0.0003483022446744144
M18_PWR_n3_L16_nuVar_v1,351,19.5,2.850000023841858,0.0003483022446744144
M18_PWR_n3_L16_nuVar_v1,370,20.5,3.149999976158142,0.0004019120242446661
M18_PWR_n3_L16_nuVar_v1,371,20.5,2.850000023841858,0.0004019120242446661
M18_PWR_n3_L16_nuVar_v1,390,21.5,3.149999976158142,0.0004442268400453031
M18_PWR_n3_L16_nuVar_v1,391,21.5,2.850000023841858,0.0004442268400453031
M18_PWR_n3_L16_nuVar_v1,410,22.5,3.149999976158142,0.00047099156654439867
M18_PWR_n3_L16_nuVar_v1,411,22.5,2.850000023841858,0.00047099156654439867
M18_PWR_n3_L16_nuVar_v1,430,23.5,3.149999976158142,0.0004856990708503872
M18_PWR_n3_L16_nuVar_v1,431,23.5,2.850000023841858,0.0004856990708503872
M18_PWR_n3_L16_nuVar_v1,450,24.5,3.149999976158142,0.0004953789175488055
M18_PWR_n3_L16_nuVar_v1,451,24.5,2.850000023841858,0.0004953789175488055
M18_PWR_n3_L16_nuVar_v1,470,25.5,3.149999976158142,0.000503658433444798
M18_PWR_n3_L16_nuVar_v1,471,25.5,2.850000023841858,0.000503658433444798
M18_PWR_n3_L16_nuVar_v1,490,26.5,3.149999976158142,0.0005086688906885684
M18_PWR_n3_L16_nuVar_v1,491,26.5,2.850000023841858,0.0005086688906885684
M18_PWR_n3_L16_nuVar_v1,510,27.5,3.149999976158142,0.0004982195096090436
M18_PWR_n3_L16_nuVar_v1,511,27.5,2.850000023841858,0.0004982195096090436
M18_PWR_n3_L16_nuVar_v1,530,28.5,3.149999976158142,0.00046204266254790127
M18_PWR_n3_L16_nuVar_v1,531,28.5,2.850000023841858,0.00046204266254790127
M18_PWR_n3_L16_nuVar_v1,550,29.5,3.149999976158142,0.00041005085222423077
M18_PWR_n3_L16_nuVar_v1,551,29.5,2.850000023841858,0.00041005085222423077
